fecha,descripcion,importe
2026-11-01,SUELDO EMPRESA SA,980000
2026-11-02,ALQUILER DEPTO,-320000
2026-11-03,COTO DIGITAL,-95000
2026-11-05,NETFLIX.COM,-4500
2026-11-07,FARMACITY SUC 8,-14000
2026-11-10,UBER TRIP,-6200
2026-11-15,MERCADOPAGO*ZARA,-45000
2026-11-20,YPF SERVICE,-30000
2026-12-01,SUELDO EMPRESA SA,980000
2026-12-01,AGUINALDO,650000
2026-12-04,SUPERMERCADO DIA,-110000
2026-12-08,SPOTIFY,-4500
2026-12-12,REGALOS NAVIDAD,-180000
2026-12-18,UBER TRIP,-7100
2026-12-22,FARMACIA DEL PUEBLO,-9000
2027-01-01,SUELDO EMPRESA SA,980000
2027-01-05,VACACIONES BARILOCHE,-410000
2027-01-08,PEDIDOSYA,-19000
2027-01-12,NETFLIX.COM,-4500
2027-01-15,YPF SERVICE,-28000
2027-01-20,GIMNASIO MENSUAL,-22000
