fecha,descripcion,importe,categoria
2026-08-01,Sueldo,1500000,Ingresos
2026-08-02,Supermercado,-50000,Alimentación
2026-08-03,Netflix,-12000,Entretenimiento
2026-08-04,Gimnasio,-30000,Salud
2026-08-05,Restaurante,-25000,Alimentación
2026-09-01,Sueldo,1500000,Ingresos
2026-09-02,Supermercado,-70000,Alimentación
2026-09-05,Netflix,-12000,Entretenimiento
2026-09-08,Gimnasio,-30000,Salud
2026-09-10,Restaurante,-40000,Alimentación
2026-09-12,Ropa,-80000,Ropa
2026-10-01,TRANSFERENCIA SUELDO EMPRESA,1500000,
2026-10-02,MERCADOPAGO*DISCO,-85000,
2026-10-03,NETFLIX.COM,-12000,
2026-10-04,UBER TRIP,-8500,
2026-10-05,PEDIDOSYA,-22000,
2026-10-06,FARMACITY,-18000,
2026-10-07,MERCADOPAGO*ZARA,-65000,
2026-10-08,SPOTIFY,-4500,
2026-10-09,COTO DIGITAL,-70000,
2026-10-10,TRANSFERENCIA RECIBIDA,50000,
